Repository,Framework,Created At
orderpad/JustEat.Orderpad,none,2013-09-19T08:28:02Z
orderpad/JustEat.Zeus.External,none,2014-06-03T15:42:44Z
orderpad/JustEat.Zeus.OrderpadEmulator,none,2015-02-04T11:13:15Z
orderpad/JustEat.Zeus.Mock,none,2015-03-17T16:23:06Z
orderpad/JustEat.Xamarin,none,2015-06-17T08:50:50Z
orderpad/JustEat.Orderpad.Prototype,none,2015-08-26T10:57:39Z
orderpad/ppd-keys,none,2015-09-07T16:04:47Z
orderpad/SotiPackaging,none,2015-10-02T08:49:07Z
orderpad/readme,none,2015-10-14T12:13:00Z
orderpad/JustEat.Language.Organiser,none,2015-11-18T14:48:38Z
orderpad/JustEat.Zeus.OrderConnect.Contracts,none,2015-11-27T12:09:36Z
orderpad/JustEat.PubSub,none,2016-02-12T15:09:18Z
orderpad/MockLocationStreaming,none,2016-02-29T10:00:57Z
orderpad/JustEat.DriverManagement.API,none,2016-06-15T10:10:46Z
orderpad/JustEat.Orderpad.DriverManagement.FAQ,none,2016-09-02T09:42:29Z
orderpad/JustEat.PubNub.Blocks,none,2016-10-11T08:19:48Z
orderpad/OrderpadApi,none,2017-01-09T12:13:20Z
orderpad/JustEat.ModernHttpClient,none,2017-01-11T12:42:40Z
orderpad/JustEat.Square.OkHttp3,none,2017-07-28T09:32:54Z
orderpad/devicehub,none,2017-08-30T00:35:41Z
orderpad/ZeusMockAccountCreator,none,2017-10-09T13:08:38Z
orderpad/DriverEmulator,none,2017-10-09T13:13:44Z
orderpad/JustEat.TestOrderGenerator,none,2017-10-16T14:15:35Z
orderpad/SnoopySMSSender,none,2017-10-16T14:33:20Z
orderpad/Orderpad,none,2018-03-06T15:10:38Z
orderpad/MiniMomConfig,none,2018-09-13T23:52:50Z
orderpad/MiniMom.Database,none,2018-10-16T00:54:20Z
orderpad/ResourceRendering,none,2018-11-16T12:14:11Z
orderpad/Mom.EN.FetchOrders.Labmbda,none,2019-01-07T23:12:42Z
orderpad/BulkSetRestaurantDetails,none,2019-02-28T16:19:55Z
orderpad/mom-orderhandler,none,2019-02-28T23:23:46Z
orderpad/OrderpadConfigurationWeb,vue,2019-05-28T11:19:32Z
orderpad/OrderpadConfiguration,none,2019-06-19T15:04:36Z
orderpad/OrderpadLite,vue,2019-06-20T17:39:28Z
orderpad/serial,none,2019-07-10T14:45:48Z
orderpad/android-serial,none,2019-07-10T14:48:35Z
orderpad/TokenExchangeApi,none,2019-08-16T10:12:11Z
orderpad/config,none,2019-12-09T13:19:33Z
orderpad/JustSayingStackTesting,none,2020-04-29T11:46:11Z
orderpad/DynamoDB.ContentDeletion,none,2020-05-21T08:40:38Z
orderpad/devicehublambda,none,2020-07-29T15:00:35Z
orderpad/daxtest,none,2020-09-22T15:21:51Z
orderpad/LiveOrderStreamPoc,none,2020-11-16T10:52:26Z
orderpad/ContractImporter,none,2020-12-11T15:40:42Z
orderpad/CourierFeedback,none,2021-01-25T14:48:17Z
orderpad/OrderpadPrelogin,none,2021-01-28T11:08:26Z
orderpad/OrderpadIotPoc,none,2021-06-04T16:44:10Z
orderpad/orderpadconfigurationsweb,none,2021-09-15T22:14:43Z
orderpad/OrderpadApi.Tools,none,2021-11-09T17:44:06Z
orderpad/OrderpadMqttPoc,none,2021-12-09T16:13:17Z
orderpad/OrderpadDeploymentPOC,none,2022-01-12T15:27:16Z
orderpad/OrderpadGateway,none,2022-01-24T14:29:20Z
orderpad/DynamicRestaurantPreparationTime,none,2022-03-17T14:50:49Z
orderpad/OrderpadLogin,none,2022-05-19T10:03:58Z
orderpad/OrderpadTestOrders,none,2022-06-01T09:59:24Z
orderpad/help-orderpad,none,2022-08-02T15:42:34Z
orderpad/ConnectivityHack22,none,2022-10-18T09:58:14Z
orderpad/githubactiontestapp,none,2023-02-13T11:21:58Z
orderpad/OrderpadSmartGatewayTests,none,2023-03-22T11:04:52Z
orderpad/OrderpadIotAuthorizer,none,2023-03-22T13:04:22Z
orderpad/AndroidMqttPoc,none,2023-05-03T14:08:55Z
orderpad/GmsCoreOrderpad,none,2023-06-07T13:13:23Z
orderpad/OrderpadLogin-2,none,2023-06-12T15:56:37Z
orderpad/AppLauncher,none,2023-06-23T12:20:36Z
orderpad/ramapi,none,2023-07-05T15:00:10Z
orderpad/RemoteAppManagement,none,2023-07-10T08:22:29Z
orderpad/POC_FE_Seamless_Login,none,2023-07-17T14:40:04Z
orderpad/orderpadgatewaylambdas,none,2023-07-31T10:30:01Z
orderpad/OrderpadCodingTest,none,2024-03-11T14:41:10Z
orderpad/iotcoreinfrastructure,none,2024-06-25T15:59:00Z
orderpad/PartnerHolidaySurveyApi,none,2024-07-29T16:11:09Z
orderpad/PartnerHolidaySurveyLambdas,none,2024-07-30T08:12:15Z
orderpad/OrderpadRamConfigurationScripts,none,2024-08-14T11:42:58Z
orderpad/Hermes,none,2024-09-06T05:49:11Z
orderpad/PartnerAppConfigurations,none,2024-09-24T09:54:09Z
orderpad/OrderpadDeviceDetails,react,2024-10-09T08:01:53Z
orderpad/PrintingLab,none,2024-11-28T15:42:48Z
orderpad/UnifiedPartnerAppMigrations,none,2025-01-13T13:31:23Z
orderpad/PartnerAppMenu,none,2025-02-06T14:48:29Z
orderpad/tokenexchangeapieks,none,2025-03-27T10:53:50Z
